model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,false_alarm_rate,normal_f1,normal_recall,normal_precision,back_f1,back_recall,back_precision,buffer_overflow_f1,buffer_overflow_recall,buffer_overflow_precision,guess_passwd_f1,guess_passwd_recall,guess_passwd_precision,ipsweep_f1,ipsweep_recall,ipsweep_precision,neptune_f1,neptune_recall,neptune_precision,nmap_f1,nmap_recall,nmap_precision,pod_f1,pod_recall,pod_precision,portsweep_f1,portsweep_recall,portsweep_precision,satan_f1,satan_recall,satan_precision,smurf_f1,smurf_recall,smurf_precision,teardrop_f1,teardrop_recall,teardrop_precision,warezclient_f1,warezclient_recall,warezclient_precision
RF (raw features),0.901570262597587,0.6226057934610355,0.8786161476692933,0.561138776635022,0.7514559562860053,0.008202478116867754,0.9251161519540858,0.9368297239327475,0.9136918820433227,0.7895927601809954,0.9721448467966574,0.6647619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.9856115107913669,0.9716312056737588,1.0,0.9792636479052053,0.9937728151170281,0.9651720542231491,0.6008230452674898,1.0,0.4294117647058823,0.8085106382978723,0.926829268292683,0.7169811320754716,0.827027027027027,0.9745222929936306,0.7183098591549296,0.7956403269754768,0.9931972789115646,0.6636363636363637,0.9888475836431226,1.0,0.9779411764705882,0.39344262295081966,1.0,0.24489795918367346,0.0,0.0,0.0
MLP (deep baseline),0.7911639460610362,0.5409860017896311,0.7942790048809135,0.459775589117443,0.7861590029400912,0.01740300449491365,0.8273303099583974,0.7636476856016052,0.9026005888125613,0.45689655172413796,0.8857938718662952,0.30784123910939015,0.11926605504587157,0.65,0.06565656565656566,0.040129449838187704,0.025182778229082048,0.09872611464968153,0.8154761904761905,0.9716312056737588,0.7025641025641025,0.9304051343762535,0.9961348507622934,0.8728127939793039,0.4948453608247423,0.9863013698630136,0.3302752293577982,0.7068965517241379,1.0,0.5466666666666666,0.6371308016877637,0.9617834394904459,0.47634069400630913,0.6279982555604012,0.9795918367346939,0.4621309370988447,0.9830007390983001,1.0,0.9665697674418605,0.39344262295081966,1.0,0.24489795918367346,0.0,0.0,0.0
NDAE + RF (Shone re-impl.),0.8465223562810504,0.5391867776813395,0.8335009472211228,0.48321672033889806,0.6700983616184115,0.012789803643245801,0.8849422983898833,0.886044419843631,0.8838429153150666,0.27941176470588236,0.31754874651810583,0.24945295404814005,0.0,0.0,0.0,0.0,0.0,0.0,0.9788732394366197,0.9858156028368794,0.972027972027972,0.9685575364667747,0.9624221601889629,0.9747716398434102,0.6058091286307054,1.0,0.43452380952380953,0.8210526315789474,0.9512195121951219,0.7222222222222222,0.5665399239543726,0.9490445859872612,0.4037940379403794,0.5667600373482726,0.8258503401360544,0.4314143567874911,0.9984984984984985,1.0,0.9970014992503748,0.3389830508474576,0.8333333333333334,0.2127659574468085,0.0,0.0,0.0
CBAN-D (deep only),0.5937721788502484,0.4469674254206972,0.6408991163485516,0.3941097727723672,0.7317898841286729,0.03385231842914597,0.6021934197407777,0.45969694873036737,0.8727177196900039,0.16087833295989246,1.0,0.08747563352826511,0.013050570962479609,0.2,0.006745362563237774,0.023176550783912748,0.01380991064175467,0.07203389830508475,0.710997442455243,0.9858156028368794,0.556,0.9429013939081053,0.9804595232982607,0.9081145584725537,0.44108761329305135,1.0,0.28294573643410853,0.7358490566037735,0.9512195121951219,0.6,0.25084745762711863,0.9426751592356688,0.14467253176930597,0.5574912891986062,0.9795918367346939,0.38961038961038963,0.9786607799852833,1.0,0.9582132564841499,0.39344262295081966,1.0,0.24489795918367346,0.0,0.0,0.0
CBAN (proposed),0.872471611071682,0.5508122161498157,0.8526029002266149,0.5000462400865071,0.6839352639308088,0.010627365744026496,0.9047052019188242,0.9199474157614336,0.8899598393574297,0.37362637362637363,0.33147632311977715,0.42805755395683454,0.0,0.0,0.0,0.0,0.0,0.0,0.9288135593220339,0.9716312056737588,0.8896103896103896,0.9709110282365477,0.9783122181662014,0.9636209813874789,0.6008230452674898,1.0,0.4294117647058823,0.8085106382978723,0.926829268292683,0.7169811320754716,0.4416796267496112,0.9044585987261147,0.29218106995884774,0.741045214327657,0.8585034013605443,0.6518595041322314,0.9970014992503748,1.0,0.9940209267563528,0.39344262295081966,1.0,0.24489795918367346,0.0,0.0,0.0
