model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,false_alarm_rate,normal_f1,normal_recall,normal_precision,dos_f1,dos_recall,dos_precision,probe_f1,probe_recall,probe_precision,r2l_f1,r2l_recall,r2l_precision,u2r_f1,u2r_recall,u2r_precision
RF (raw features),0.7452093683463449,0.49649510936437896,0.7026946584004511,0.7808898796768659,0.48518936670392304,0.06369765791341377,0.7758988671810868,0.9733292142930697,0.6450556200095544,0.8601720047449585,0.777822472512738,0.9620232172470978,0.687033918691364,0.5898389095415117,0.8225806451612904,0.0771789753825682,0.0401801177693107,0.9747899159663865,0.0821917808219178,0.04477611940298507,0.5
MLP (deep baseline),0.7904985805535841,0.613299567087567,0.7706627570269263,0.6799628482259743,0.6719335099616253,0.052375354861603975,0.8220144646322103,0.9597363814231284,0.7188584650983417,0.8850400519592986,0.8222043443282381,0.9582747304266291,0.76431718061674,0.7166460140437836,0.8187824445493157,0.31926406926406925,0.20436439210252857,0.7292954264524104,0.27586206896551724,0.6567164179104478,0.1746031746031746
NDAE + RF (Shone re-impl.),0.741305890702626,0.51195055057319,0.7116167852373595,0.7555705032192127,0.49385257877573396,0.0646735273243435,0.7677351770375026,0.9433631963752446,0.6472375300268476,0.8617631716223265,0.7752748726200054,0.9699714812950847,0.6302164695380496,0.5832300702189178,0.6854368932038835,0.21784615384615386,0.12261863526151714,0.9752066115702479,0.0821917808219178,0.04477611940298507,0.5
CBAN-D (deep only),0.7693399574166075,0.6293256276486545,0.7627489713011159,0.6718408329549075,0.7041132168655386,0.05766501064584812,0.808064070698702,0.9039233858510967,0.7305867665418228,0.7951892968972388,0.7491284526682757,0.8472854109796785,0.7773504273504274,0.7513424204874019,0.8052235502434706,0.5264155413409145,0.38482854173882924,0.8328335832083958,0.2396088019559902,0.7313432835820896,0.14327485380116958
CBAN (proposed),0.7289300922640171,0.544831706774646,0.6946641402594044,0.834243850950885,0.5173278014503228,0.06776747693399574,0.7587601078167115,0.9276078673669035,0.6419154849283831,0.7944646758922068,0.7312952534191473,0.8695790816326531,0.7782083428310919,0.7050805452292441,0.8682604272634792,0.16195617656398856,0.08832698302736404,0.9732824427480916,0.23076923076923078,0.13432835820895522,0.8181818181818182
